feature,importance
form_fill_time_seconds,154
typing_speed_cpm,31
typing_speed_category,12
ip_signup_count_24h,2
inhuman_typing_speed,1
signup_hour,0
signup_day_of_week,0
is_weekend,0
is_night_signup,0
country_mismatch,0
is_high_risk_country,0
email_length,0
has_profile_photo,0
device_signup_count_24h,0
high_ip_velocity,0
high_device_velocity,0
velocity_score,0
email_risk_score,0
behavior_risk_score,0
device_risk_score,0
geo_risk_score,0
bio_length,0
is_mobile,0
profile_completeness,0
has_empty_user_agent,0
email_entropy,0
email_digit_ratio,0
email_special_char_count,0
has_numeric_suffix,0
is_common_email_provider,0
session_duration_seconds,0
pages_viewed,0
mouse_movements,0
pages_per_minute,0
form_fill_speed,0
mouse_density,0
low_engagement,0
is_vpn,0
is_bot_user_agent,0
is_disposable_email,0
total_risk_score,0
